document_id,clean_text,sentiment
1,love the note 3 i really love the galaxy note 3 and i have had absolutely no problems with it it does everything and more i am sorry the newest version 7 has been such a disaster but i think there must have been a flaw in the sealed waterproof design i am so glad i settled on the older version tried and true for less money and virtually no down side at all the galaxy note 3 phone is such an awesome phone i feel very badly for the company at this time also the company which sent it did so quickly arrived earlier than expected,positive
2,attention tracfone users amazingly this works with tracfone before we used a iphone 4s verizon bought from amazon and transferred to tracfone byop successfully and everything still works today didn't know of tracfone's changes so now it's at t unlocked phones t mobile and some other various carriers that can be brought into byop not verizon as it was a byop carrier before transfer old tracfone cellphone to this newer samsung already had a sim card meant for the process strangely before the iphone 4s didn't need a sim card still doesn't have one but still on that tracfone plan for the iphone the byop process didn't work right away when we tried transferring it online called tracfone for assistance blah blah provided information this that op nope your phone isn't compatible with tracfone sorry and bye however we tried transferring online again and it worked successfully results it uses at t cell towers makes calls and everything successfully image transfers through text messages is iffy since it can't send multiple images in bulk just make sure to go through the steps listed for byop do it once or twice and image transfer along with data usage should work fine,positive
3,i love this phone table phablet this phone is fabulous i had an iphone 4 and really didn't need anything fancy or better but got tired of the updates and being it was a 4 it was too old for many newer things i wanted something that i could read books on that is large enough like a kindle but use as a phone as well this phone is it for me phablet yeah ok i call it awesome perfect in size to read books not too big that it still is ok to use as phone while holding it up to your ear it is bigger than most phones but with all the features as hands free gestures and so many features i am still learning about i recommend this to anyone wanting the cross between a tablet and a cell phone many others give great detail to the phone i am simply going to say its fast battery lasts longs if you remember to close applications you're not using so many smart features and way better than iphone 4 i love android and all the same apps pretty much as itunes has plus google play store kindle app for books its endless love it,positive
4,worked great no accessories worked just like it was straight out of the box it was great to be able to charge again after my original note 3 was rusted and corroded around the port it was a little tricky to figure out how to change out the sim card apparently according to youtube videos you need the tool which came in the original box there is no way that you could do it by hand i had no luck with a pair of tweezers and even with the original tool took me a few attempts to get the sim card out once put in the new phone i didn't even have to call verizon it worked immediately i also purchased a 128gb memory stick to transfer all of my photos and videos from the old phone it's memory was full so i couldn't upload through the internet and the port was corroded so usb wouldn't work this phone did not come with the stylus or the charger i found two generic chargers for about 8 on amazon and i took my stylus from the old phone overall happy with the purchase and everything worked great only downside in the whole experience for me was that i lost some of my contacts in the transfer i believe that some are stored locally on the phone and some are google contacts there didn't seem to be much rhyme or reason but i now make sure that i store them all as google contacts,positive
5,very pleased with this phone i have had this phone for a little over a month now and am extremely happy with it i love everything about it except the visual voicemail update that wont go away i do not want visual voicemail and besides that verizon wants to charge 2 99 a month for it i won't go into this any further as it will just spark more rants about unwanted software bloat ware the problem with this particular piece of crapware is that notifications continually pop up and sit in the notifications bar at the top of the phone if you clear it it comes back and there is no way to turn it off either this is the reason for taking off 1 star off the phone s rating other than that the phone is a real performer takes wonderful pictures and video and is still slim enough to fit nicely in my back pocket the phone is big but so are my hands and it could not fit them better this is truly a where have you been all my life moment having this phone the larger display is just awesome and the pen works great too this phone would be a perfect 10 without the software bloat ware thing but hey where would the world be without annoying salespeople trying to sell you what you don t want or need anyway the battery life has been great for me most times i can go 2 days without a charge i do turn my phone off at night though and i don t play games on it with the exception of bubble shoot i went from the droid razr maxx to this phone and i loved that phone well i thought i did until i got this phone i was hesitant going away from motorola equipment as i have always had some sort of motorola device because they are made so well really glad i made this switch,positive
6,still learning transitioning from iphone great phone although i miss the integrated features that the iphone provides excellent battery i haven't found aftermarket apps but in my transition i've noticed what i do love great screen size to read everything comfortably watch video clips and appreciate pictures great battery life i had to charge the iphone i had twice a day this i abuse and it still gets me through the day it also has a removable battery for instant juice family i have in the philippines have had to charge theirs 3 4 times a day due to the network infrastructure responsive in my transition things i have noticed native list syncing is not present i decided to go with wunderlist i would have used google task but it's not developed yet no button that pulls up voice command like siri does in the lock screen the voice command is not universal and not as easily accessible like siri was you can have it activate in the lock screen with a double tap of the home button but it doesn't work if the phone is unlocked if it is unlocked you have to find the app there is a buttonless voice activation hi galaxy but it stops working sometimes google maps will persist in lock mode but only if you don't hit the home button to summon the unlock screen when you do that the map disappears and you must unlock the phone to see it again the iphone will always show the map when navigating while locked which was really nice some apps tend to freeze i simply hold down the home button and swipe to close a running program and then reopen it the text size kept changing on me every time i tried to text i found you change the default text size with the volume buttons i had to be creative to migrate my contacts i moved everything to google from my iphone then synced with my phone one thing that is great is that i can manage my contacts now through google contacts through my gmail they have a tool to remove duplicate contacts text to speech engine is awesome better than siri in accuracy and speed i think camera and playlist controls aren't available in the lock screen as they were with the iphone unless you disable security i've used the pen when in phone calls to jot down and auto call the numbers i write afterwards which is really nice after the novelty of the pen i reverted to using the on screen keyboard i still use it on occasion i like the availability especially when sending information to people or writing on maps i have used the s note notebooks to draw guitar chords and strumming patterns so that's really nice i just wish there was more integration so i can see my notebooks on my computer for a case i used the otterbox commuter which works well it has no belt clip but i would imagine i'd get tired of putting on the clip after a while anyway this just slides into my pocket did i enjoy my iphone yes simple works well integrated robust although sometimes non responsive and poor battery life do i enjoy the galaxy note yes totally different experience with the larger screen great battery life more enjoyment of pictures video it's not as well integrated but it works and does what i want in a mobile computing device phone that i have on me all the time the screen snappiness battery life and pen bring really make it and are much more important in the experience will i stay i think so i will learn the phone soon enough the experience is just different if you have any comments please do i'm still learning the phone it is a great piece of art and master craftsmanship from samsung it comes from south korea a powerhouse of cutting edge technology and force in the global economy i was there for a year and can appreciate the history not to be confused with china or japan,positive
7,favorite smartphone ive had this is definitely the best phone i've owned my previous were the samsung fascinate galaxy 1 and then the galaxy s3 i have always prefered samsung devices i like apples hardware but i hate ios so i stick to android devices after working several jobs selling cell phones and working with them all the time i always choose to buy samsung i just think the galaxy series phones have been really good well the time came for my s3 to upgrade and i was planning on getting the newest s phone which at the time was the s5 after playing around with one for a bit i just wasn't crazy about it it seemed bigger than my s3 by a noticeable amount and had some annoying features that were unable to be turned off i didn't care about the s health or anything like that i care about speed and features thats where the note shines it is a large phone but its actually not that much bigger than an s5 an s5 with an otterbox is bigger than my note with a slim grip case i have now had the phone for a couple months and pocketing it is no big deal at all also the note has awesome features s window is really cool as well as scrapbooker s note is useful for reminders or jotting down a number or something really quick s draw is really cool to use the pen even comes in handy for texting and normal web use its screen is also really nice not quite 1080p but its 720p it looks just fine i watch videos on it all the time all in all i highly recommend the note 3 the note 4 hardware and build quality materials are better its more expensive and has some slightly annoying features though consider a note as your next phone over a galaxy s not to m,positive
8,so far i am really loving this phone i don't use a cell phone a lot but i love the functionality of this phone it is more like a mini tablet the pen that comes with it is very handy and activates the phone when you pull it out it is also great for more precise selections and for note taking i am very happy with the resolution of the screen and the response of both touch and pen buying the phone from amazon and setting up a new verizon account was painless i easily got the account and on line payment set up without a hitch i also transferred my at t phone number to the phone without any problems i won't reiterate the tech specs of the phone as you can read all of that on the product page i just want to let you know what i think of it as a user of the phone at this point in time i couldn't be happier with this phone or the verizon service update 5 07 16 i've had this phone for a little over 3 years and i still have no desire to get a new phone i did however recently decide to switch my service provider from verizon to t mobile because of the offerings of t mobile which i won't get into i was assured by the t mobile rep that as long as the phone was unlocked i could replace the verizon sim card with the one from t mobile and the phone would work with no problems after activating the t mobile sim card i am updating this review so that others don't experience what i did if they want to change their provider first of all verizon has never locked any of their 4g phones verizon uses a cdma network which is also used by sprint and us cellular t mobile and at s use a gsm network one difference is the polarity used so phone for each type of network are manufactured to use the specific polarity of the network the other difference that should be considered by the end user is that on the gsm network customer information is stored on the sim card this means that you can take the sim card from one phone and insert it into another and it will work gsm carriers must accept any gsm phone so they don't have control over the phone you are using cdma carriers use network based white lists so you can only switch phones with your carrier's permission and the carrier doesn't have to accept any particular phone there are other differences between the two network types but those i have mentioned affect the end user the most in my case i had to buy a new phone in order to switch to t mobile as a carrier i was also told by verizon that this phone may work with another cdma carrier but it my lose functionality i have had to buy another phone to use the gsm network and have decided to get the galaxy note 4 since i have to give up my note 3 i hope this helps other in choosing a carrier and a phone,positive
9,great camera and sound large but slim durable 'rich' looking best phone i've had so far switched from at t to verizon with this phone and glad i did customer service has been excellent there were problems with overheating and the battery draining quickly which you can see via an internet search verizon replaced the phone but i found that the problem really seems tied to google updating syncing photos and videos once i turned that off and only do it on demand and when plugged in the problem seems solved have not been thrilled by the note feature but that is probably just my ignorance excellent camera and i love the google voice search response feature of course that's an android not just the note 3 i am fairly careful with my phones so haven't put a screensaver on it nor do i use a case most of the time due to the weight and find the phone and screen to be pretty durable it still looks like new after about 2 years it's large and rather unwieldy but for my old eyes ability to see things on the screen makes up for it it is slim and light enough to not be a problem the sound is really good too i almost always use the speakerphone on it for making calls and like the sound when i play music or listen to audio books and i'm fussy i haven't tried other brands so can't comment on how the note 3 compares tho i did look at them in the store before settling on this phone,positive
10,great phone i bought this phone in december 2013 l still love it the drawback is its size l hare small hands and it can be difficult to grasp because it is big it is also heavier than my previous phones the size is why i bought it though l wanted the big screen and it is worth it lt is very durable i did put a case on it but it is a lightweight one that only covers the edges and back i have dropped my phone many times with no damage samsung does have a lot of useless programs that come pre installed but i haven't had issues with those my battery easily lasts all day most days if the battery seems to be draining quickly clearing the cache and restarting the phone seems to solve the problem the on screen keyboard is easier to use on the bigger screen the split windows are now useable games are easier to play everything is easier to read one more drawback is that the volume buttons and power button are directly opposite of each other i often end up pressing both at the same time the rest of the phone isn't much different from the galaxy nexus the programs are the same the screens look the same only bigger,neutral
